Asset sticker,Req/PO/Ticket No.,Serial No.,Date ordered,Type,Ordered By,Assigned email,Staff ID,Department,Date assigned,Date returned,e-wasted? Y/N,Cost
UOM000386,mF-81094,wx11726qH,25/11/2021,Desktop,Grace Wilson,grace.wilson@unimelb.edu.au,8826,Nursing,26/04/2022,12/09/2022,Y,1032.07
UOM000387,rs-07822,tX75116nF,1/01/2025,Tablet,Jack Anderson,ivy.taylor@unimelb.edu.au,1354,Nursing,7/01/2025,,N,1173.66
UOM000388,Fn-20370,sI47623Uu,29/11/2021,Printer,David Brown,david.brown@unimelb.edu.au,5741,Nursing,12/08/2024,11/09/2024,N,480.4
UOM000389,jq-52578,pq44829uR,2/09/2024,Tablet,Carol Williams,carol.williams@unimelb.edu.au,6271,DOVS,24/01/2025,26/01/2025,N,832.51
UOM000390,jr-57560,af88609ib,8/07/2022,Tablet,Emma Jones,frank.miller@unimelb.edu.au,3991,Social Work,6/08/2023,18/08/2023,Y,650.75
UOM000391,vA-44874,XS29780jq,10/03/2024,Server,Emma Jones,alice.johnson@unimelb.edu.au,2417,Nursing,5/04/2025,4/05/2025,N,5518.47
UOM000392,Ne-06178,XX65895wh,18/01/2021,Monitor,Carol Williams,bob.smith@unimelb.edu.au,5312,DOVS,1/01/2024,22/01/2024,Y,648.13
UOM000393,wl-66923,AM78899tF,23/12/2021,Desktop,Emma Jones,grace.wilson@unimelb.edu.au,8826,SHS,29/07/2023,19/09/2024,N,2035.58
UOM000394,CR-06460,Lq97102Ce,29/09/2023,Phone,David Brown,frank.miller@unimelb.edu.au,3991,DOVS,15/02/2024,14/04/2025,N,716.42
UOM000395,Fh-65682,MN94102jA,20/05/2023,Tablet,Henry Moore,jack.anderson@unimelb.edu.au,9503,Social Work,25/09/2024,,N,469.95
UOM000396,vF-91415,RF39336dq,25/12/2024,Server,Jack Anderson,carol.williams@unimelb.edu.au,6271,Social Work,8/01/2025,23/01/2025,N,5732.46
UOM000397,YI-54666,Fa53926FJ,9/05/2023,Phone,Alice Johnson,bob.smith@unimelb.edu.au,5312,Nursing,29/12/2023,,N,530.8
UOM000398,yZ-04467,SC11784sX,20/10/2021,Printer,Jack Anderson,bob.smith@unimelb.edu.au,5312,DOVS,8/12/2021,16/07/2023,Y,986.45
UOM000399,ou-08267,Gy13285DD,5/04/2024,Laptop,Carol Williams,david.brown@unimelb.edu.au,5741,DOVS,11/08/2024,5/02/2025,N,2585.55
UOM000400,vM-23215,pt97334HT,14/02/2023,Printer,Frank Miller,henry.moore@unimelb.edu.au,6300,Nursing,6/04/2024,,N,1116.03
UOM000401,Au-51417,Ze35904Ek,30/01/2022,Server,Ivy Taylor,henry.moore@unimelb.edu.au,6300,Physio,29/03/2025,30/04/2025,N,9394.03
UOM000402,FN-54820,AP00073rx,18/10/2021,Phone,Ivy Taylor,grace.wilson@unimelb.edu.au,8826,DOVS,1/08/2024,,N,619.45
UOM000403,Em-26335,by24204Yl,21/03/2021,Monitor,Bob Smith,jack.anderson@unimelb.edu.au,9503,Nursing,25/03/2025,,N,442.87
UOM000404,dV-84373,gT85643wB,13/04/2022,Monitor,Bob Smith,jack.anderson@unimelb.edu.au,9503,Social Work,26/11/2022,23/12/2023,Y,261.49
UOM000405,uv-30984,Od78325gj,4/12/2021,Server,Bob Smith,ivy.taylor@unimelb.edu.au,1354,SHS,28/02/2023,27/09/2024,N,2507.86
UOM000406,dq-27799,yn46482gS,19/11/2022,Server,Carol Williams,frank.miller@unimelb.edu.au,3991,Nursing,3/02/2023,14/07/2024,N,7730.85
UOM000407,IP-22387,RW39375BM,19/05/2020,Server,Frank Miller,ivy.taylor@unimelb.edu.au,1354,DOVS,22/08/2024,,N,5901.76
UOM000408,ug-03772,kz90603qW,4/08/2021,Server,Frank Miller,emma.jones@unimelb.edu.au,8089,Social Work,9/04/2024,8/02/2025,N,9950.54
UOM000409,lS-79627,cs01094sJ,27/12/2020,Tablet,Emma Jones,david.brown@unimelb.edu.au,5741,DOVS,27/07/2022,1/05/2024,Y,783.37
UOM000410,gY-90162,QT18322Xa,2/07/2021,Phone,Alice Johnson,bob.smith@unimelb.edu.au,5312,Social Work,2/05/2025,6/05/2025,N,284.13
UOM000411,GP-58477,DM70951XC,14/10/2022,Printer,Ivy Taylor,carol.williams@unimelb.edu.au,6271,Social Work,4/12/2022,29/04/2024,Y,102.62
UOM000412,Ay-52963,zs56398nB,23/03/2024,Printer,Bob Smith,ivy.taylor@unimelb.edu.au,1354,Social Work,1/11/2024,8/12/2024,N,187.35
UOM000413,Pe-91677,sD53735RU,4/12/2024,Printer,Bob Smith,ivy.taylor@unimelb.edu.au,1354,SHS,4/01/2025,6/02/2025,N,1062.29
UOM000414,ci-38970,MQ97688ft,20/04/2022,Phone,Jack Anderson,jack.anderson@unimelb.edu.au,9503,Physio,3/02/2023,10/09/2023,Y,988.44
UOM000415,Es-11876,LT61971jD,16/10/2023,Printer,Alice Johnson,alice.johnson@unimelb.edu.au,2417,Physio,26/07/2024,16/04/2025,N,832.35
UOM000416,zu-27349,NZ65424js,26/12/2021,Desktop,Bob Smith,grace.wilson@unimelb.edu.au,8826,SHS,9/11/2022,6/12/2024,N,1775.01
UOM000417,Mw-87374,Ju00111le,10/04/2023,Tablet,Frank Miller,henry.moore@unimelb.edu.au,6300,Social Work,16/06/2024,17/01/2025,N,1127.68
UOM000418,jV-81033,pF46030Dz,9/08/2022,Laptop,Grace Wilson,jack.anderson@unimelb.edu.au,9503,Social Work,31/01/2023,,N,2768.67
UOM000419,Go-25046,TS12901mt,24/05/2023,Laptop,Henry Moore,carol.williams@unimelb.edu.au,6271,Physio,3/03/2025,5/05/2025,N,1952.53
UOM000420,YG-88172,ef99549YK,12/08/2020,Laptop,Carol Williams,henry.moore@unimelb.edu.au,6300,Nursing,6/08/2024,21/01/2025,N,2518.86
UOM000421,Cc-30765,Zk36226Ob,20/02/2025,Tablet,Frank Miller,carol.williams@unimelb.edu.au,6271,Physio,29/03/2025,6/04/2025,N,690.68
UOM000422,wj-90835,hh80729Og,24/11/2021,Laptop,Bob Smith,frank.miller@unimelb.edu.au,3991,SHS,28/02/2025,13/04/2025,N,1382.58
UOM000423,lj-41648,jd99234UE,23/11/2022,Monitor,David Brown,frank.miller@unimelb.edu.au,3991,Physio,29/10/2023,8/01/2025,N,615.37
UOM000424,Po-02976,Vg40594ik,8/02/2025,Server,Henry Moore,emma.jones@unimelb.edu.au,8089,DOVS,5/05/2025,6/05/2025,N,5329.85
UOM000425,EW-51468,AV07708qR,15/04/2023,Server,Ivy Taylor,frank.miller@unimelb.edu.au,3991,DOVS,14/03/2025,,N,4479.64
UOM000426,bH-43679,Qb34284iY,14/04/2022,Laptop,Emma Jones,emma.jones@unimelb.edu.au,8089,SHS,13/08/2022,3/01/2023,Y,1653.65
UOM000427,SU-91391,kC97144Tu,29/05/2020,Monitor,Carol Williams,bob.smith@unimelb.edu.au,5312,DOVS,8/09/2023,3/08/2024,N,363.29
UOM000428,qe-50475,bQ49862JY,21/10/2023,Desktop,Emma Jones,bob.smith@unimelb.edu.au,5312,Social Work,12/11/2024,,N,1488.3
UOM000429,fc-14274,zw50162uL,24/02/2025,Printer,Grace Wilson,alice.johnson@unimelb.edu.au,2417,SHS,10/05/2025,15/05/2025,N,1217.81
UOM000430,yC-73063,gS14246aU,17/08/2024,Phone,Emma Jones,henry.moore@unimelb.edu.au,6300,DOVS,18/04/2025,19/04/2025,N,238.56
UOM000431,Ib-42579,Zc71601iV,13/05/2025,Laptop,David Brown,bob.smith@unimelb.edu.au,5312,DOVS,14/05/2025,,N,2064.3
UOM000432,Ys-97651,Ep28680bm,16/02/2023,Desktop,Emma Jones,grace.wilson@unimelb.edu.au,8826,Social Work,24/09/2024,,N,1016.62
UOM000433,PO-27922,Fe17916eu,30/11/2023,Desktop,Jack Anderson,carol.williams@unimelb.edu.au,6271,DOVS,17/11/2024,29/11/2024,N,1035.23
UOM000434,kM-73263,xu80843WM,23/10/2021,Printer,Alice Johnson,ivy.taylor@unimelb.edu.au,1354,Social Work,12/11/2022,,N,656.75
UOM000435,mr-19532,rV85712eT,26/09/2022,Server,Alice Johnson,emma.jones@unimelb.edu.au,8089,DOVS,28/02/2023,,N,7198.07
UOM000436,eE-61453,mh15263Yz,6/03/2021,Printer,Carol Williams,ivy.taylor@unimelb.edu.au,1354,DOVS,13/11/2023,24/08/2024,N,1331.84
UOM000437,lb-95118,Ht11320bg,29/03/2021,Printer,Grace Wilson,alice.johnson@unimelb.edu.au,2417,Nursing,1/11/2021,3/03/2024,Y,1069.93
UOM000438,Oj-78521,mc30825Mf,24/07/2022,Phone,Alice Johnson,ivy.taylor@unimelb.edu.au,1354,Physio,13/02/2025,19/03/2025,N,698.9
UOM000439,Pu-53901,rc26289JG,16/08/2023,Desktop,Bob Smith,grace.wilson@unimelb.edu.au,8826,DOVS,15/09/2024,,N,838.69
UOM000440,WS-56749,Zi44152HL,4/04/2022,Tablet,Carol Williams,emma.jones@unimelb.edu.au,8089,SHS,10/05/2025,10/05/2025,N,1056.99
UOM000441,Hv-84164,Fw22195GA,21/08/2024,Server,Grace Wilson,jack.anderson@unimelb.edu.au,9503,Social Work,13/10/2024,,N,4535.68
UOM000442,Jq-80453,vO04619Un,13/04/2021,Tablet,Bob Smith,david.brown@unimelb.edu.au,5741,DOVS,29/01/2025,15/05/2025,N,1199.63
UOM000443,Ad-57231,xr86919Pf,7/04/2025,Printer,Ivy Taylor,grace.wilson@unimelb.edu.au,8826,Nursing,13/04/2025,20/04/2025,N,345.52
UOM000444,Hm-67056,bM12284IY,17/04/2021,Printer,Ivy Taylor,ivy.taylor@unimelb.edu.au,1354,DOVS,4/07/2022,18/05/2024,N,250.49
UOM000445,HX-41681,Bs98704lG,16/07/2024,Monitor,Emma Jones,frank.miller@unimelb.edu.au,3991,DOVS,16/04/2025,19/04/2025,N,434.14
UOM000446,YA-82454,RU48195XU,31/05/2021,Server,Grace Wilson,henry.moore@unimelb.edu.au,6300,Physio,12/07/2023,18/10/2023,Y,5266.01
UOM000447,tk-35500,rN42799yg,23/06/2023,Monitor,Frank Miller,henry.moore@unimelb.edu.au,6300,Nursing,9/12/2023,30/12/2023,Y,185.79
UOM000448,OU-35107,VX89065dL,8/09/2023,Laptop,David Brown,henry.moore@unimelb.edu.au,6300,Nursing,9/11/2024,2/03/2025,N,1931.77
UOM000449,Au-27072,VY98376QY,4/07/2020,Desktop,Frank Miller,david.brown@unimelb.edu.au,5741,DOVS,26/11/2021,21/01/2024,Y,1712.88
UOM000450,FR-30210,IH34374kB,30/09/2023,Laptop,Jack Anderson,emma.jones@unimelb.edu.au,8089,Social Work,20/04/2025,21/04/2025,N,2090.28
UOM000451,Rc-41369,kV19790ED,4/07/2022,Tablet,Henry Moore,alice.johnson@unimelb.edu.au,2417,Social Work,30/10/2022,21/01/2024,Y,372.51
UOM000452,gN-45199,gm63132LH,21/04/2024,Laptop,Frank Miller,jack.anderson@unimelb.edu.au,9503,SHS,9/05/2024,6/06/2024,N,1231.5
UOM000453,aZ-87575,fE50768Qk,9/12/2023,Tablet,Jack Anderson,david.brown@unimelb.edu.au,5741,Physio,30/11/2024,26/02/2025,N,1081.29
UOM000454,MU-33028,IR05104WG,8/07/2022,Printer,Jack Anderson,frank.miller@unimelb.edu.au,3991,DOVS,13/10/2022,18/09/2023,Y,158.31
UOM000455,to-89098,AO76272YZ,22/10/2023,Tablet,Alice Johnson,jack.anderson@unimelb.edu.au,9503,Physio,4/12/2023,10/03/2025,N,779.9
UOM000456,Ov-09502,yP18690El,20/01/2022,Tablet,Ivy Taylor,bob.smith@unimelb.edu.au,5312,SHS,9/10/2024,,N,448.85
UOM000457,Ql-68440,rr00105wH,20/07/2024,Tablet,Carol Williams,carol.williams@unimelb.edu.au,6271,SHS,5/11/2024,23/03/2025,N,825.44
UOM000458,BV-15047,yr99439Jw,6/08/2020,Monitor,Alice Johnson,bob.smith@unimelb.edu.au,5312,DOVS,12/12/2020,,N,499.01
UOM000459,In-14834,hT39787iF,16/01/2024,Printer,Ivy Taylor,jack.anderson@unimelb.edu.au,9503,SHS,2/03/2025,,N,1396.32
UOM000460,ky-91033,Wy08530yP,20/11/2020,Monitor,David Brown,jack.anderson@unimelb.edu.au,9503,DOVS,4/12/2023,,N,315.64
UOM000461,ev-61763,yL81805PR,2/01/2025,Tablet,Bob Smith,alice.johnson@unimelb.edu.au,2417,DOVS,18/01/2025,,N,741.68
UOM000462,ad-64406,GA58685DW,23/02/2022,Server,Emma Jones,bob.smith@unimelb.edu.au,5312,Nursing,7/05/2024,19/12/2024,N,9546.76
UOM000463,sC-62690,Sv09425ej,24/12/2020,Monitor,Carol Williams,alice.johnson@unimelb.edu.au,2417,DOVS,18/07/2023,18/10/2024,N,435.98
UOM000464,pz-74657,Ob81136iz,26/09/2020,Desktop,Jack Anderson,carol.williams@unimelb.edu.au,6271,SHS,14/05/2023,,N,1357.73
UOM000465,Xg-97070,kO81213iu,30/08/2022,Laptop,Emma Jones,emma.jones@unimelb.edu.au,8089,Social Work,7/11/2022,12/07/2024,N,2759.18
UOM000466,lb-38908,WP70659jp,10/07/2022,Printer,Carol Williams,carol.williams@unimelb.edu.au,6271,Social Work,5/08/2022,23/10/2022,Y,1230.34
UOM000467,pl-47077,eU43759Rz,29/07/2022,Printer,David Brown,ivy.taylor@unimelb.edu.au,1354,Nursing,18/11/2022,,N,251.6
UOM000468,Ao-67334,Ng43624gY,2/09/2020,Monitor,Emma Jones,henry.moore@unimelb.edu.au,6300,SHS,18/01/2024,16/04/2024,Y,631.09
UOM000469,kY-94839,Pw56499QV,24/10/2021,Server,Frank Miller,alice.johnson@unimelb.edu.au,2417,DOVS,21/11/2021,3/11/2022,Y,5152.1
UOM000470,Pi-14492,Md06243UH,1/05/2025,Printer,Emma Jones,carol.williams@unimelb.edu.au,6271,Nursing,10/05/2025,15/05/2025,N,148.48
UOM000471,KU-70775,HR24470ji,8/11/2024,Server,Jack Anderson,ivy.taylor@unimelb.edu.au,1354,Social Work,22/02/2025,,N,4419.25
UOM000472,hL-42820,rG59763NC,15/02/2025,Laptop,Bob Smith,ivy.taylor@unimelb.edu.au,1354,SHS,12/04/2025,19/04/2025,N,2362.1
UOM000473,Cv-39169,Pr49085se,28/02/2021,Phone,Jack Anderson,ivy.taylor@unimelb.edu.au,1354,Nursing,9/03/2024,11/04/2025,N,362.65
UOM000474,fC-71327,uG24550eh,24/08/2021,Desktop,Jack Anderson,henry.moore@unimelb.edu.au,6300,SHS,15/05/2023,24/01/2025,N,1099.63
UOM000475,vu-97892,HQ14332mL,18/12/2021,Monitor,Bob Smith,david.brown@unimelb.edu.au,5741,DOVS,15/11/2024,11/02/2025,N,418.18
UOM000476,UF-18081,qT35761EC,30/10/2022,Phone,David Brown,david.brown@unimelb.edu.au,5741,Nursing,29/10/2024,,N,630.18
UOM000477,gy-53961,es01153cn,20/11/2020,Tablet,Henry Moore,ivy.taylor@unimelb.edu.au,1354,Nursing,13/02/2025,,N,805.7
UOM000478,Qi-06064,Dl41076Wo,19/08/2023,Laptop,Alice Johnson,bob.smith@unimelb.edu.au,5312,DOVS,9/01/2025,29/03/2025,N,1305.66
UOM000479,Jd-12192,bR67064lh,9/01/2021,Laptop,Frank Miller,grace.wilson@unimelb.edu.au,8826,SHS,15/11/2024,8/02/2025,N,2569.7
UOM000480,tM-33038,nz36965YP,13/02/2021,Printer,Jack Anderson,grace.wilson@unimelb.edu.au,8826,Physio,29/11/2021,5/06/2024,N,1122.21
UOM000481,wo-41532,ei94483fF,11/12/2021,Printer,Emma Jones,bob.smith@unimelb.edu.au,5312,DOVS,16/02/2022,23/03/2024,Y,339.35
UOM000482,rK-24622,yF90724tO,20/11/2023,Phone,Bob Smith,jack.anderson@unimelb.edu.au,9503,DOVS,18/03/2025,2/04/2025,N,816.99
UOM000483,Yf-55867,MF93143hl,23/01/2024,Printer,Henry Moore,carol.williams@unimelb.edu.au,6271,Physio,11/10/2024,,N,272.3
UOM000484,ce-91351,zI28380rq,30/11/2020,Desktop,David Brown,david.brown@unimelb.edu.au,5741,Nursing,15/12/2024,,N,1330.38
UOM000485,Gr-56004,MR76318VJ,16/12/2020,Server,Ivy Taylor,ivy.taylor@unimelb.edu.au,1354,DOVS,31/10/2021,30/06/2022,Y,7104.66
UOM000486,th-79806,bW51814Tt,18/03/2021,Laptop,Bob Smith,grace.wilson@unimelb.edu.au,8826,Nursing,29/11/2022,6/08/2023,Y,1758.35
UOM000487,pU-21862,ff36507oi,21/12/2023,Phone,Frank Miller,alice.johnson@unimelb.edu.au,2417,Physio,23/08/2024,27/02/2025,N,998.51
UOM000488,pY-94653,hW16416xZ,8/06/2022,Desktop,Emma Jones,jack.anderson@unimelb.edu.au,9503,Nursing,19/04/2024,4/09/2024,N,1846.45
UOM000489,QU-28145,IU05572nb,27/10/2021,Desktop,Frank Miller,alice.johnson@unimelb.edu.au,2417,Nursing,8/12/2021,20/01/2025,N,1446.9
UOM000490,CU-58465,fp03210YD,27/09/2022,Laptop,Emma Jones,jack.anderson@unimelb.edu.au,9503,Social Work,1/05/2023,,N,1531.06
UOM000491,PD-40392,HB47827iJ,8/11/2021,Desktop,Jack Anderson,jack.anderson@unimelb.edu.au,9503,DOVS,8/07/2023,28/03/2025,N,2326.1
UOM000492,Ub-04003,DD23813mG,3/12/2022,Printer,Frank Miller,emma.jones@unimelb.edu.au,8089,Nursing,22/12/2023,16/05/2025,N,783.8
UOM000493,jc-75571,vV04900Kw,20/01/2023,Laptop,Jack Anderson,bob.smith@unimelb.edu.au,5312,Physio,16/04/2023,,N,2102.93
UOM000494,At-19807,mg56263FT,16/08/2024,Printer,Emma Jones,frank.miller@unimelb.edu.au,3991,Social Work,17/09/2024,,N,563.81
UOM000495,kQ-75015,DZ65127eO,26/07/2022,Monitor,Jack Anderson,ivy.taylor@unimelb.edu.au,1354,DOVS,7/12/2023,8/02/2024,Y,276.58
UOM000496,wR-37342,SO01174vd,30/11/2021,Desktop,Bob Smith,ivy.taylor@unimelb.edu.au,1354,Social Work,9/01/2025,2/03/2025,N,940.34
UOM000497,Bh-12444,kH97313VC,9/05/2024,Monitor,Frank Miller,jack.anderson@unimelb.edu.au,9503,Nursing,17/01/2025,12/03/2025,N,387.07
UOM000498,mg-60776,uI41338Hq,1/07/2020,Monitor,Emma Jones,ivy.taylor@unimelb.edu.au,1354,SHS,25/04/2022,2/05/2022,Y,610.26
UOM000499,mT-64171,iH02636wg,21/09/2024,Laptop,Ivy Taylor,alice.johnson@unimelb.edu.au,2417,DOVS,17/11/2024,12/05/2025,N,1935.92
UOM000500,oQ-91423,Iz57185Ln,19/01/2021,Desktop,Henry Moore,ivy.taylor@unimelb.edu.au,1354,Physio,20/01/2025,21/02/2025,N,1772.72
UOM000501,GV-37675,Pz09148Jo,27/07/2020,Monitor,Frank Miller,ivy.taylor@unimelb.edu.au,1354,Physio,11/01/2022,5/09/2022,Y,440.06
UOM000502,hC-01622,RS87521km,5/05/2023,Laptop,Bob Smith,jack.anderson@unimelb.edu.au,9503,SHS,27/10/2024,28/04/2025,N,1135.86
UOM000503,kP-84672,yR20656ii,20/09/2022,Monitor,Henry Moore,alice.johnson@unimelb.edu.au,2417,Nursing,28/04/2024,22/08/2024,N,388.8
UOM000504,wS-92480,eT48134mc,7/09/2024,Laptop,Carol Williams,david.brown@unimelb.edu.au,5741,SHS,3/10/2024,11/04/2025,N,1574.48
UOM000505,Yi-37731,KJ11402Ix,28/08/2024,Desktop,Grace Wilson,henry.moore@unimelb.edu.au,6300,Nursing,8/02/2025,,N,2154.18
UOM000506,LN-74649,Ie86173Xq,8/09/2022,Server,Bob Smith,emma.jones@unimelb.edu.au,8089,Physio,4/12/2023,20/02/2025,N,4731.32
UOM000507,Ss-06894,My49401em,27/07/2021,Phone,David Brown,frank.miller@unimelb.edu.au,3991,Physio,19/08/2022,3/06/2024,N,725.74
UOM000508,Mm-77437,PW01184TW,26/05/2022,Laptop,Bob Smith,jack.anderson@unimelb.edu.au,9503,Physio,3/01/2023,,N,2455.28
UOM000509,ET-99225,oU90739nj,27/03/2024,Printer,Jack Anderson,emma.jones@unimelb.edu.au,8089,DOVS,5/06/2024,26/08/2024,N,819.62
UOM000510,Jd-94499,OL46369lU,4/09/2020,Desktop,Ivy Taylor,henry.moore@unimelb.edu.au,6300,DOVS,27/06/2021,4/12/2024,N,869.47
UOM000511,Cv-18552,bz81501GM,17/05/2022,Server,Grace Wilson,grace.wilson@unimelb.edu.au,8826,DOVS,24/11/2022,19/03/2025,N,8800.19
UOM000512,Wf-87258,WV15740ha,6/08/2022,Server,Emma Jones,alice.johnson@unimelb.edu.au,2417,DOVS,18/05/2024,9/08/2024,N,4364.01
UOM000513,ue-82018,HK35509yp,12/02/2024,Tablet,Emma Jones,alice.johnson@unimelb.edu.au,2417,Nursing,19/11/2024,,N,1167.04
UOM000514,jV-63456,bs67541Ds,14/10/2021,Monitor,Henry Moore,david.brown@unimelb.edu.au,5741,Social Work,26/11/2024,20/01/2025,N,319.38
UOM000515,MG-95628,na59062Sg,22/04/2024,Phone,Bob Smith,grace.wilson@unimelb.edu.au,8826,Social Work,30/01/2025,4/02/2025,N,832.69
UOM000516,Pb-58652,bo48252wn,9/08/2024,Monitor,Jack Anderson,henry.moore@unimelb.edu.au,6300,Physio,27/08/2024,,N,509.89
UOM000517,gm-31881,Lx77494mK,29/01/2023,Printer,Carol Williams,ivy.taylor@unimelb.edu.au,1354,Social Work,12/11/2023,,N,726.55
UOM000518,ym-44129,LT94420Vj,25/06/2024,Printer,Jack Anderson,david.brown@unimelb.edu.au,5741,Social Work,20/04/2025,,N,1410.77
UOM000519,Fv-12315,Yb80390zn,2/04/2022,Desktop,David Brown,carol.williams@unimelb.edu.au,6271,Social Work,18/12/2023,12/03/2025,N,2220.08
UOM000520,iO-32292,nm16944OF,17/05/2021,Server,Carol Williams,emma.jones@unimelb.edu.au,8089,Nursing,30/09/2022,3/03/2024,Y,7719.47
UOM000521,FI-81586,Nu18284AK,16/02/2021,Printer,David Brown,jack.anderson@unimelb.edu.au,9503,SHS,9/11/2023,,N,266.86
UOM000522,iq-41894,tX88819OL,25/06/2021,Laptop,Ivy Taylor,jack.anderson@unimelb.edu.au,9503,DOVS,2/01/2023,17/12/2023,Y,1333.28
UOM000523,eO-82816,nO69920mp,17/04/2022,Printer,Ivy Taylor,alice.johnson@unimelb.edu.au,2417,DOVS,14/10/2022,,N,1102.74
UOM000524,JE-44414,Yv26469tH,12/08/2020,Desktop,Ivy Taylor,carol.williams@unimelb.edu.au,6271,DOVS,13/08/2023,16/05/2024,Y,1454.26
UOM000525,Nu-77190,Be01125ED,5/07/2024,Server,Ivy Taylor,bob.smith@unimelb.edu.au,5312,Social Work,17/11/2024,13/02/2025,N,5577.79
UOM000526,xG-76952,wR38693pU,26/10/2024,Tablet,Alice Johnson,ivy.taylor@unimelb.edu.au,1354,SHS,13/11/2024,6/04/2025,N,675.92
UOM000527,XL-21130,ea32336OT,27/11/2022,Desktop,Grace Wilson,frank.miller@unimelb.edu.au,3991,SHS,27/10/2024,,N,2081.38
UOM000528,sX-93880,bq93553wP,7/09/2020,Server,David Brown,emma.jones@unimelb.edu.au,8089,DOVS,17/06/2024,,N,5099
UOM000529,sO-90863,JN33851VQ,13/10/2020,Printer,Henry Moore,frank.miller@unimelb.edu.au,3991,Physio,5/10/2022,5/04/2025,N,1386.93
UOM000530,We-88822,ne86181uC,4/10/2020,Laptop,Ivy Taylor,bob.smith@unimelb.edu.au,5312,Physio,27/04/2021,,N,1797.66
UOM000531,aI-05485,yo49271LD,5/03/2024,Server,Jack Anderson,emma.jones@unimelb.edu.au,8089,Social Work,29/09/2024,8/03/2025,N,9141.21
UOM000532,Wr-50588,qE48376jG,28/04/2024,Tablet,Ivy Taylor,frank.miller@unimelb.edu.au,3991,Physio,7/03/2025,29/03/2025,N,882.1
UOM000533,TI-90529,SM35528gT,20/09/2021,Tablet,Bob Smith,bob.smith@unimelb.edu.au,5312,SHS,14/01/2023,19/06/2023,Y,532.97
UOM000534,sO-28319,uW61369Ze,23/12/2021,Printer,Frank Miller,ivy.taylor@unimelb.edu.au,1354,SHS,10/12/2022,,N,1178.9
UOM000535,JK-55982,RG47929ro,17/08/2020,Tablet,Grace Wilson,frank.miller@unimelb.edu.au,3991,DOVS,9/09/2022,27/12/2024,N,986
UOM000536,ql-65725,Fl74680mK,27/01/2021,Printer,Carol Williams,jack.anderson@unimelb.edu.au,9503,SHS,28/08/2022,,N,535.7
UOM000537,MW-33166,dd81713Ru,23/10/2024,Phone,Emma Jones,jack.anderson@unimelb.edu.au,9503,Physio,7/01/2025,1/02/2025,N,693.32
UOM000538,Md-09006,bh12473tS,23/07/2020,Laptop,Carol Williams,ivy.taylor@unimelb.edu.au,1354,Nursing,4/12/2022,,N,2582.28
UOM000539,Vl-62816,af72587tD,30/05/2021,Printer,Bob Smith,alice.johnson@unimelb.edu.au,2417,Social Work,27/04/2024,30/07/2024,N,516.71
UOM000540,Eh-65773,AM39809MZ,17/12/2023,Desktop,Frank Miller,jack.anderson@unimelb.edu.au,9503,DOVS,9/02/2024,23/02/2025,N,1241.51
UOM000541,Yg-40579,uw90246Sl,20/11/2024,Server,Frank Miller,david.brown@unimelb.edu.au,5741,SHS,17/03/2025,28/03/2025,N,8241.73
UOM000542,NJ-89364,ut83059eq,15/11/2022,Laptop,Jack Anderson,ivy.taylor@unimelb.edu.au,1354,SHS,26/12/2024,18/03/2025,N,1582.83
UOM000543,xG-83280,RX71496cW,25/02/2022,Server,Ivy Taylor,henry.moore@unimelb.edu.au,6300,Social Work,15/05/2023,25/12/2024,N,6558.45
UOM000544,yB-52609,fv50116Af,4/10/2021,Desktop,Henry Moore,ivy.taylor@unimelb.edu.au,1354,Social Work,5/08/2023,23/02/2025,N,1502.49
UOM000545,Sf-50144,WD95764KL,5/12/2023,Printer,Bob Smith,ivy.taylor@unimelb.edu.au,1354,DOVS,25/02/2025,23/04/2025,N,808.44
UOM000546,VS-96663,yH58459qr,30/08/2023,Printer,Alice Johnson,carol.williams@unimelb.edu.au,6271,SHS,4/10/2024,31/03/2025,N,461.03
UOM000547,JW-88895,eX11394hd,22/10/2021,Phone,Emma Jones,bob.smith@unimelb.edu.au,5312,DOVS,7/12/2022,,N,685.07
UOM000548,IJ-57196,dk64455MJ,6/07/2024,Phone,Emma Jones,frank.miller@unimelb.edu.au,3991,DOVS,13/04/2025,30/04/2025,N,908.8
UOM000549,tZ-74931,WF70485bi,29/12/2022,Laptop,Ivy Taylor,jack.anderson@unimelb.edu.au,9503,Social Work,25/10/2023,17/03/2025,N,1807.55
UOM000550,aY-47402,Ng32785yd,28/11/2022,Printer,Henry Moore,ivy.taylor@unimelb.edu.au,1354,Physio,19/06/2024,,N,217.39
UOM000551,RI-90356,Kw50358wn,3/02/2024,Tablet,Henry Moore,frank.miller@unimelb.edu.au,3991,Physio,6/05/2024,11/04/2025,N,606.51
UOM000552,YK-83766,HM78809iJ,3/08/2024,Tablet,Henry Moore,ivy.taylor@unimelb.edu.au,1354,Nursing,24/01/2025,,N,356.33
UOM000553,fJ-57768,cJ34599Ot,24/01/2025,Desktop,Henry Moore,ivy.taylor@unimelb.edu.au,1354,Nursing,24/04/2025,9/05/2025,N,1561.65
UOM000554,Ns-05536,vh92455DM,18/11/2024,Desktop,Emma Jones,jack.anderson@unimelb.edu.au,9503,Social Work,10/05/2025,10/05/2025,N,1973.14
UOM000555,Wc-65577,uQ53604sj,22/07/2024,Laptop,Carol Williams,jack.anderson@unimelb.edu.au,9503,DOVS,8/10/2024,29/01/2025,N,1695.76
